acceptor_accuracy_scratch,acceptor_accuracy_finetune,acceptor_precision_scratch,acceptor_precision_finetune,acceptor_recall_scratch,acceptor_recall_finetune,acceptor_f1_scratch,acceptor_f1_finetune,acceptor_auprc_scratch,acceptor_auprc_finetune,donor_accuracy_scratch,donor_accuracy_finetune,donor_precision_scratch,donor_precision_finetune,donor_recall_scratch,donor_recall_finetune,donor_f1_scratch,donor_f1_finetune,donor_auprc_scratch,donor_auprc_finetune,accuracy_scratch,accuracy_finetune
0.6670807453416149,0.8360248447204969,0.8443396226415094,0.9094594594594595,0.6670807453416149,0.8360248447204969,0.7453157529493407,0.8711974110032362,0.8128321279061126,0.9296596713327865,0.66375,0.8,0.7785923753665689,0.8683853459972863,0.66375,0.8,0.7165991902834008,0.8327911515940143,0.7792674034131305,0.907589018784266,0.7769269097621536,0.8786640113961054
0.5453416149068323,0.84472049689441,0.9648351648351648,0.9066666666666666,0.5453416149068323,0.84472049689441,0.6968253968253968,0.8745980707395499,0.8738834046020468,0.9315470143893048,0.56875,0.80125,0.8939096267190569,0.8732970027247956,0.56875,0.80125,0.6951871657754011,0.8357235984354628,0.8301833021921494,0.9107723945901184,0.7046925368037965,0.8819792954754831
0.8198757763975155,0.8409937888198757,0.8505154639175257,0.9148648648648648,0.8198757763975155,0.8409937888198757,0.8349146110056926,0.8763754045307444,0.8978265552414848,0.9320866752475748,0.8075,0.81,0.8064918851435705,0.8697986577181208,0.8075,0.81,0.8069956277326671,0.8388349514563107,0.8738296312100075,0.9115793807478993,0.8757738529979097,0.8836539261815258
0.7838509316770186,0.8521739130434782,0.884992987377279,0.9014454664914586,0.7838509316770186,0.8521739130434782,0.8313570487483531,0.876117496807152,0.9049911836643285,0.932567175283273,0.72625,0.82,0.8803030303030303,0.8608923884514436,0.72625,0.82,0.7958904109589041,0.8399487836107554,0.877762534775398,0.9126871885327089,0.8366895737791665,0.8907125671398489
0.7118012422360248,0.8372670807453416,0.9518272425249169,0.9182561307901907,0.7118012422360248,0.8372670807453416,0.814498933901919,0.875893437296946,0.9085665207168494,0.9328233453184523,0.58875,0.8025,0.925343811394892,0.8818681318681318,0.58875,0.8025,0.719633307868602,0.8403141361256544,0.8818448282519529,0.912998836515608,0.7668459459777478,0.8799126237897106
0.7627329192546584,0.8472049689440994,0.9150521609538003,0.9129852744310576,0.7627329192546584,0.8472049689440994,0.8319783197831978,0.8788659793814433,0.9069836653103169,0.932819293511666,0.78875,0.81625,0.8620218579234973,0.8706666666666667,0.78875,0.81625,0.8237597911227154,0.8425806451612903,0.8830227458141926,0.913995241945338,0.8504837697026004,0.8878075195134533
0.715527950310559,0.8621118012422361,0.9473684210526315,0.9012987012987013,0.715527950310559,0.8621118012422361,0.8152866242038217,0.8812698412698413,0.909928282385325,0.9324952863459334,0.67625,0.83625,0.9232081911262798,0.8621134020618557,0.67625,0.83625,0.7806637806637806,0.8489847715736041,0.8897351691908622,0.9133214846090324,0.7972541817885239,0.8994417298299546
0.853416149068323,0.8546583850931677,0.8685208596713021,0.9028871391076115,0.853416149068323,0.8546583850931677,0.8609022556390977,0.8781110402042118,0.9163275181920207,0.9328270539106149,0.84625,0.83625,0.7844727694090382,0.866580310880829,0.84625,0.83625,0.8141912206855081,0.851145038167939,0.8896355053985165,0.9141429869231494,0.8998693768147815,0.8969576579087063
0.7950310559006211,0.867080745341615,0.927536231884058,0.8948717948717949,0.7950310559006211,0.867080745341615,0.8561872909698997,0.8807570977917981,0.9196754392448259,0.932272071843117,0.76,0.845,0.8773448773448773,0.8567807351077313,0.76,0.845,0.8144675150703282,0.8508495909376966,0.8868083288302535,0.9134280992099114,0.8516680157436127,0.9040139109395318
0.8062111801242235,0.8372670807453416,0.9140845070422535,0.9145183175033921,0.8062111801242235,0.8372670807453416,0.8567656765676568,0.874189364461738,0.9199928134371557,0.9310862177393932,0.75125,0.80625,0.8903703703703704,0.885989010989011,0.75125,0.80625,0.8149152542372882,0.8442408376963351,0.8934369525911983,0.9126358221192107,0.8524780571514802,0.8811626237897107
