acceptor_accuracy_scratch,acceptor_accuracy_finetune,acceptor_precision_scratch,acceptor_precision_finetune,acceptor_recall_scratch,acceptor_recall_finetune,acceptor_f1_scratch,acceptor_f1_finetune,acceptor_auprc_scratch,acceptor_auprc_finetune,donor_accuracy_scratch,donor_accuracy_finetune,donor_precision_scratch,donor_precision_finetune,donor_recall_scratch,donor_recall_finetune,donor_f1_scratch,donor_f1_finetune,donor_auprc_scratch,donor_auprc_finetune,accuracy_scratch,accuracy_finetune
0.0,0.8859016393442622,0.0,0.9298004129387474,0.0,0.8859016393442622,0.0,0.9073203492276696,0.0002034202829635885,0.9491249425156396,0.8913612565445026,0.9011780104712042,0.637043966323667,0.9322951929587001,0.8913612565445026,0.9011780104712042,0.7430441898527005,0.9164725457570716,0.8618520853582593,0.9523232449782579,0.6304019872404946,0.9290130750440516
0.0,0.898360655737705,0.0,0.9307065217391305,0.0,0.898360655737705,0.0,0.9142475809142476,0.0002554148486451107,0.9533722182566062,0.6485602094240838,0.9181937172774869,0.8935978358881875,0.9266842800528402,0.6485602094240838,0.9181937172774869,0.751611679939325,0.9224194608809994,0.844557220343038,0.9569841089733021,0.5495121983350398,0.9388372489959131
0.0,0.8852459016393442,0.0,0.9414225941422594,0.0,0.8852459016393442,0.0,0.9124704291990537,0.00016802243533604104,0.9537162607832627,0.7859947643979057,0.9077225130890052,0.9009752438109527,0.9428959891230455,0.7859947643979057,0.9077225130890052,0.8395665851101014,0.924974991663888,0.9074265317311357,0.9579131285624861,0.5953227827560723,0.9309782647332182
0.0,0.899672131147541,0.0,0.9449035812672176,0.0,0.899672131147541,0.0,0.9217332885455156,0.00017222035921306007,0.9552766984042947,0.7094240837696335,0.9201570680628273,0.9040867389491243,0.9398395721925134,0.7094240837696335,0.9201570680628273,0.7950128346167951,0.9298941798941799,0.8752282801761069,0.9603722647684193,0.5698003565724177,0.9399317261457615
0.7167213114754099,0.9088524590163934,0.9154103852596315,0.9447852760736196,0.7167213114754099,0.9088524590163934,0.80397204854726,0.9264705882352942,0.8717222068192736,0.9563288541703201,0.8010471204188482,0.9234293193717278,0.864406779661017,0.9350563286944996,0.8010471204188482,0.9234293193717278,0.8315217391304348,0.9292064537372406,0.892943614971208,0.9610001499323435,0.839236598697079,0.9440819855050951
0.8852459016393442,0.9075409836065573,0.8533501896333755,0.9440654843110505,0.8852459016393442,0.9075409836065573,0.8690054715159318,0.9254429956536275,0.9201172373920888,0.9563406776836294,0.8907068062827225,0.9227748691099477,0.8763683193818416,0.9393737508327782,0.8907068062827225,0.9227748691099477,0.8834793898085037,0.931000330141961,0.9333928528289547,0.9609450221688953,0.9252892853705171,0.943427077192279
0.8721311475409836,0.9068852459016393,0.8914209115281502,0.944672131147541,0.8721311475409836,0.9068852459016393,0.8816705336426914,0.9253931080628973,0.9287919495113937,0.9561361034659644,0.8835078534031413,0.9214659685863874,0.872093023255814,0.9392928619079386,0.8835078534031413,0.9214659685863874,0.8777633289986996,0.9302940204823258,0.9339436258991559,0.9618854617194162,0.9185223189846882,0.9427722644901845
0.8445901639344262,0.9140983606557377,0.934010152284264,0.943805010155721,0.8445901639344262,0.9140983606557377,0.8870523415977961,0.9287141905396402,0.93605638455111,0.9567296749140193,0.856675392670157,0.9267015706806283,0.9444444444444444,0.9358889623265036,0.856675392670157,0.9267015706806283,0.8984214138641043,0.9312726076948372,0.9474076029237144,0.9617566422404626,0.9004106453586295,0.9469213031137785
0.9147540983606557,0.921311475409836,0.8648481091134532,0.9341755319148937,0.9147540983606557,0.921311475409836,0.8891013384321224,0.9276989105315285,0.9425118522426085,0.9553634557115057,0.9168848167539267,0.9332460732984293,0.8669554455445545,0.9277813923227066,0.9168848167539267,0.9332460732984293,0.8912213740458015,0.9305057096247961,0.9482328424444879,0.9614255158658424,0.9438507540681051,0.9515051743491322
0.8675409836065574,0.9127868852459017,0.9206680584551148,0.9399054692775152,0.8675409836065574,0.9127868852459017,0.8933153274814315,0.9261477045908184,0.9399023709808088,0.957261214851699,0.862565445026178,0.931282722513089,0.93342776203966,0.9355687047994741,0.862565445026178,0.931282722513089,0.8965986394557823,0.9334207937028534,0.9453235253475589,0.9618859169441984,0.9100216010720854,0.948010728302866
