acceptor_accuracy_scratch,acceptor_accuracy_finetune,acceptor_precision_scratch,acceptor_precision_finetune,acceptor_recall_scratch,acceptor_recall_finetune,acceptor_f1_scratch,acceptor_f1_finetune,acceptor_auprc_scratch,acceptor_auprc_finetune,donor_accuracy_scratch,donor_accuracy_finetune,donor_precision_scratch,donor_precision_finetune,donor_recall_scratch,donor_recall_finetune,donor_f1_scratch,donor_f1_finetune,donor_auprc_scratch,donor_auprc_finetune,accuracy_scratch,accuracy_finetune
0.1565217391304348,0.33291925465838507,0.7924528301886793,0.7403314917127072,0.1565217391304348,0.33291925465838507,0.26141078838174275,0.4592973436161097,0.4542413064954932,0.5562174499870531,0.1725,0.325,0.7419354838709677,0.6860158311345647,0.1725,0.325,0.2799188640973631,0.4410517387616624,0.4386698919297553,0.5331000434411388,0.44300184464285497,0.5526255469931314
0.2894409937888199,0.3490683229813665,0.7082066869300911,0.7356020942408377,0.2894409937888199,0.3490683229813665,0.4109347442680776,0.4734625105307498,0.4999077624161655,0.5590020967640212,0.39125,0.355,0.5894538606403014,0.6729857819905213,0.39125,0.355,0.47032306536438767,0.46481178396072015,0.48484111341321967,0.5349641339413691,0.5602093912078489,0.5680068358775465
0.23850931677018633,0.35403726708074534,0.7868852459016393,0.7251908396946565,0.23850931677018633,0.35403726708074534,0.36606291706387034,0.4757929883138564,0.5096766018512724,0.5599660516560387,0.29125,0.3375,0.6934523809523809,0.6870229007633588,0.29125,0.3375,0.4102112676056338,0.4526404023470243,0.506676815823969,0.5361324668320444,0.5099094356053303,0.5638303507485944
0.2956521739130435,0.3639751552795031,0.723404255319149,0.7325,0.2956521739130435,0.3639751552795031,0.41975308641975306,0.4863070539419087,0.5216832146839019,0.5622967380249789,0.3775,0.355,0.6371308016877637,0.6713947990543735,0.3775,0.355,0.4740973312401884,0.46443172526574,0.5163791107680343,0.5373607794834483,0.5576998523410073,0.5729753131604106
0.24347826086956523,0.3701863354037267,0.8065843621399177,0.7321867321867321,0.24347826086956523,0.3701863354037267,0.37404580152671757,0.49174917491749176,0.5274436911753272,0.5628251786507247,0.23125,0.3625,0.7370517928286853,0.6651376146788991,0.23125,0.3625,0.3520456707897241,0.4692556634304207,0.5250441073333505,0.5373231344500097,0.4915685512042119,0.57754510634249
0.37763975155279506,0.3763975155279503,0.6346555323590815,0.7112676056338029,0.37763975155279506,0.3763975155279503,0.4735202492211838,0.49228269699431354,0.5282058977545434,0.5636877583437114,0.3575,0.35625,0.7061728395061728,0.6721698113207547,0.3575,0.35625,0.4746887966804979,0.46568627450980393,0.5369218821007805,0.5380090869431364,0.5783603108906448,0.577531699567383
0.3279503105590062,0.3826086956521739,0.7135135135135136,0.7096774193548387,0.3279503105590062,0.3826086956521739,0.4493617021276596,0.4971751412429379,0.5361409538038955,0.5647022280136779,0.4025,0.3675,0.6427145708582834,0.6547884187082406,0.4025,0.3675,0.49500384319754037,0.4707766212970376,0.524094397856851,0.5383998493772874,0.5767977640853771,0.5833508258687271
0.26956521739130435,0.368944099378882,0.7833935018050542,0.7425,0.26956521739130435,0.368944099378882,0.4011090573012939,0.49294605809128633,0.5378788938842366,0.5652939150056621,0.3875,0.355,0.6526315789473685,0.6794258373205742,0.3875,0.355,0.48627450980392156,0.4663382594417077,0.5339895612347315,0.5384653299069603,0.552340067647222,0.5746322280528654
0.368944099378882,0.3739130434782609,0.675,0.7413793103448276,0.368944099378882,0.3739130434782609,0.4771084337349398,0.49710982658959535,0.5377725107087923,0.5651075313126939,0.45125,0.36375,0.6170940170940171,0.6705069124423964,0.45125,0.36375,0.5212996389891696,0.47163695299837927,0.5301728065307174,0.539354245871334,0.6067068919366387,0.5792044758505162
0.4012422360248447,0.3627329192546584,0.6408730158730159,0.7506426735218509,0.4012422360248447,0.3627329192546584,0.4935064935064935,0.48911222780569513,0.5353444859643768,0.5672856136348461,0.44125,0.355,0.6139130434782609,0.6761904761904762,0.44125,0.355,0.5134545454545455,0.46557377049180326,0.52937704759956,0.5395283619154299,0.6141372033813123,0.5725621014304184
